task,latency
stt,2.2초
gpt,3.6초
tts,2.6초
e2e,28.1초
waiting,8.4초
stt,1.9초
gpt,2.5초
tts,2.6초
e2e,27.6초
waiting,7.0초
stt,1.9초
gpt,2.5초
tts,2.5초
e2e,27.1초
waiting,6.9초
stt,1.9초
gpt,2.8초
tts,2.5초
e2e,29.9초
waiting,7.2초
stt,4.8초
gpt,2.7초
tts,2.5초
e2e,33.4초
waiting,10.0초
stt,2.2초
gpt,2.6초
tts,2.5초
e2e,28.9초
waiting,7.2초
stt,1.9초
gpt,2.5초
tts,2.5초
e2e,29.2초
waiting,6.9초
stt,1.9초
gpt,3.0초
tts,2.6초
e2e,30.7초
waiting,7.5초
stt,1.9초
gpt,2.5초
tts,2.5초
e2e,29.7초
waiting,6.9초
stt,2.0초
gpt,2.5초
tts,2.5초
e2e,29.8초
waiting,7.0초
stt,2.0초
gpt,3.1초
tts,2.5초
e2e,29.3초
waiting,7.6초
stt,1.9초
gpt,3.7초
tts,2.5초
e2e,33.4초
waiting,8.1초
stt,2.0초
gpt,2.7초
tts,2.5초
e2e,29.9초
waiting,7.1초
stt,1.9초
gpt,2.9초
tts,2.5초
e2e,29.9초
waiting,7.3초
stt,1.8초
gpt,2.6초
tts,2.5초
e2e,31.5초
waiting,6.9초
stt,1.8초
gpt,3.1초
tts,2.5초
e2e,32.8초
waiting,7.5초
stt,1.9초
gpt,4.4초
tts,2.5초
e2e,33.2초
waiting,8.8초
stt,4.1초
gpt,2.8초
tts,2.5초
e2e,31.5초
waiting,9.3초
stt,2.1초
gpt,2.4초
tts,2.6초
e2e,28.7초
waiting,7.2초
stt,2.0초
gpt,4.0초
tts,3.6초
e2e,34.7초
waiting,9.6초
stt,1.9초
gpt,3.9초
tts,2.6초
e2e,33.4초
waiting,8.4초
stt,2.0초
gpt,3.0초
tts,2.5초
e2e,32.8초
waiting,7.5초
stt,1.9초
gpt,2.9초
tts,2.6초
e2e,31.5초
waiting,7.4초
stt,1.8초
gpt,2.9초
tts,3.6초
e2e,35.3초
waiting,8.4초
stt,1.9초
gpt,2.5초
tts,2.5초
e2e,29.0초
waiting,6.8초
stt,1.9초
gpt,2.9초
tts,2.5초
e2e,31.7초
waiting,7.4초
stt,2.0초
gpt,2.7초
tts,2.6초
e2e,31.2초
waiting,7.2초
stt,2.0초
gpt,2.8초
tts,2.5초
e2e,28.5초
waiting,7.3초
stt,2.7초
gpt,2.4초
tts,3.6초
e2e,33.3초
waiting,8.7초
stt,1.9초
gpt,2.7초
tts,2.5초
e2e,32.9초
waiting,7.1초
